SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1250.00,1292.15,1246.35,1288.60,1288.60,1247.00,470,3765,4810623.00,
500003,AEGIS LOGIS ,A ,Q,248.00,251.00,245.00,250.25,249.95,245.40,140,4614,1145664.00,
500008,AMAR RAJA BA,A ,Q,770.00,805.00,770.00,779.30,779.30,773.15,486,11409,8858253.00,
500009,A.SARABHAI  ,XT,Q,12.41,12.75,12.22,12.75,12.75,12.65,23,10045,126308.00,
500010,HDFC        ,A ,Q,1843.00,1855.00,1836.85,1847.80,1852.95,1839.45,1004,19452,35944431.00,
500012,ANDHRA PETRO,X ,Q,47.15,48.70,45.05,48.05,48.70,47.15,144,30826,1474958.00,
500013,ANSAL INFRAS,B ,Q,17.65,18.00,17.25,17.90,17.90,17.85,94,18690,332766.00,
500014,APPLE FINANC,XT,Q,1.71,1.71,1.71,1.71,1.71,1.71,2,11,18.00,
500016,ARUNA HOTEL ,XT,Q,19.20,19.20,19.20,19.20,19.20,20.20,1,500,9600.00,
500020,BOM DYEING  ,A ,Q,227.05,231.50,221.90,222.75,222.75,226.85,1756,160860,36350742.00,
500023,ASIANHOTNR  ,B ,Q,250.05,260.00,250.05,260.00,260.00,250.00,2,8,2040.00,
500024,ASSAMCO     ,B ,Q,4.00,4.00,3.65,3.66,3.66,3.66,44,54941,202677.00,
500027,ATUL LTD.   ,A ,Q,2730.05,2777.45,2688.20,2720.45,2720.45,2748.45,57,253,692003.00,
500028,ATV PROJECTS,XT,Q,8.90,9.00,8.90,9.00,9.00,9.20,6,1800,16161.00,
500029,AUTOLITE(I) ,B ,Q,69.10,70.15,64.50,64.95,64.95,65.45,464,31779,2112534.00,
500031,BAJAJ ELECT.,A ,Q,525.05,543.00,523.75,536.75,536.75,527.95,1506,51546,27596980.00,
500032,BAJAJHIND   ,A ,Q,7.60,7.68,7.41,7.45,7.45,7.56,497,782967,5888876.00,
500033,FORCE MOTR  ,B ,Q,2755.00,2787.95,2755.00,2772.40,2772.40,2751.30,1511,12445,34492961.00,
500034,BAJFINANCE  ,A ,Q,2256.00,2274.80,2237.00,2256.65,2256.65,2244.85,3256,82895,187276398.00,
500038,BALRAM.CHINI,A ,Q,73.00,73.35,70.10,72.30,72.30,72.10,2720,548190,39476734.00,
500039,BANCO PROD. ,B ,Q,226.00,227.85,223.95,224.40,224.00,224.35,115,7283,1640300.00,
500040,CENTURY TEXT,A ,Q,931.00,941.80,925.65,932.85,932.85,930.30,1180,24658,23023941.00,
500041,BANNARI AMAN,B ,Q,1510.00,1540.00,1510.00,1540.00,1540.00,1510.00,3,12,18150.00,
500042,BASF INDIA  ,B ,Q,2029.25,2037.50,2003.00,2012.80,2003.00,2046.75,60,376,758427.00,
500043,BATA INDIA  ,A ,Q,778.50,788.30,769.05,775.75,775.75,771.70,1457,90200,70323612.00,
500048,BEML LTD    ,A ,Q,877.10,892.35,858.15,884.55,884.55,882.70,3944,146954,128631854.00,
500049,BHARAT ELECT,A ,Q,119.75,121.80,118.50,121.30,121.30,118.80,1431,246612,29734693.00,
500052,BHANSALI ENG,B ,Q,153.30,153.30,150.00,153.30,153.30,146.00,1039,210040,32015139.00,
500055,BHUSH STEEL ,B ,Q,32.30,34.75,32.30,34.75,34.75,33.10,1331,362411,12333649.00,
500058,BIHAR SPONGE,XT,Q,1.13,1.23,1.13,1.13,1.13,1.18,26,15757,18724.00,
500059,BINANI IND. ,B ,Q,81.45,83.35,81.00,82.15,82.15,83.15,115,9990,821353.00,
500060,BIRLACABLE  ,T ,Q,84.00,86.00,82.00,85.80,85.35,83.90,102,6568,559394.00,
500067,BLUE STAR   ,A ,Q,680.85,692.50,680.85,688.10,687.85,687.80,93,1137,783276.00,
500068,DISA INDIA  ,X ,Q,6000.00,6000.00,6000.00,6000.00,6000.00,5950.00,1,10,60000.00,
500074,BPL LTD.    ,B ,Q,57.85,61.40,57.60,60.00,59.70,57.85,727,65707,3948354.00,
500078,OAL         ,X ,Q,785.00,790.00,760.00,766.90,766.50,774.95,28,461,358128.00,
500083,CENTURY EXT ,B ,Q,6.55,6.73,6.36,6.47,6.47,6.53,62,40063,259923.00,
500084,CESC LTD.   ,A ,Q,1003.00,1008.00,1000.00,1001.70,1001.70,1005.30,405,8254,8287501.00,
500085,CHAMBAL FERT,A ,Q,168.00,169.70,165.35,167.35,167.35,167.75,272,19560,3273170.00,
500086,EXIDE IND.  ,A ,Q,252.60,254.20,250.20,252.35,252.35,252.60,1712,363317,91505526.00,
500087,CIPLA LTD.  ,A ,Q,567.00,572.95,564.05,567.05,567.05,559.75,1870,467828,266254169.00,
500089,DIC INDIA   ,B ,Q,411.05,411.05,405.00,410.00,410.00,410.00,6,158,64027.00,
500092,CRISIL LTD  ,A ,Q,1771.45,1785.85,1755.15,1777.15,1777.15,1763.25,131,853,1507092.00,
500093,CGPOWER     ,A ,Q,59.00,59.25,57.30,57.80,57.80,58.95,1119,777473,45035784.00,
500096,DABUR (I)   ,A ,Q,387.95,389.00,385.35,386.70,386.70,386.05,1200,528440,204500623.00,
500097,DALMIASUG   ,B ,Q,66.00,66.55,64.80,65.25,65.30,64.85,96,7713,506723.00,
500101,ARVIND Ltd  ,A ,Q,409.50,413.10,403.35,405.90,405.90,409.55,809,44769,18235150.00,
500102,BALARPUR IND,B ,Q,11.70,11.87,11.40,11.52,11.50,11.80,172,89859,1050406.00,
500103,BHEL        ,A ,Q,78.35,78.55,76.55,78.30,78.30,77.50,2779,518503,40262838.00,
500104,HIND.PETRO  ,A ,Q,317.90,318.95,314.90,316.80,316.80,315.05,1927,127158,40270829.00,
500106,IFCI LTD    ,A ,Q,17.10,17.30,16.90,17.05,17.05,17.05,1420,425913,7270230.00,
500108,MAHA.TELE   ,B ,Q,16.80,18.60,16.60,18.05,18.05,16.80,2409,969044,17383709.00,
500109,MRPL        ,A ,Q,93.65,96.35,93.65,95.40,94.70,95.60,261,29074,2782940.00,
500110,CHENNAI PET.,A ,Q,315.00,319.65,309.30,310.80,310.80,313.95,898,40598,12720781.00,
500111,REL.CAP.    ,A ,Q,415.50,429.35,412.80,427.05,427.05,418.05,4500,422870,178355111.00,
500112,STATE BANK  ,A ,Q,273.65,284.60,273.65,282.85,282.85,273.65,10048,1735577,484311206.00,
500113,STEEL AUTH. ,A ,Q,86.90,90.60,85.20,89.15,89.15,86.35,6937,2171456,192415453.00,
500114,TITAN       ,A ,Q,905.00,910.40,902.10,904.00,904.00,901.75,983,36989,33506879.00,
500116,IDBI BANK L ,A ,Q,61.70,62.15,60.70,61.60,61.60,61.60,2183,2285086,140881794.00,
500117,DCW LTD.    ,B ,Q,26.95,27.50,26.70,27.00,27.20,26.85,248,67570,1832170.00,
500119,DHAMPUR SUGA,B ,Q,104.90,105.40,103.55,104.80,104.80,102.65,648,71839,7504303.00,
500120,DIAMINES&CHM,X ,Q,93.00,95.00,93.00,93.00,93.00,93.25,9,410,38623.00,
500123,ELANTAS     ,B ,Q,2010.00,2025.00,2000.00,2010.30,2010.00,2010.00,38,981,1973503.00,
500124,DR.REDDY'S  ,A ,Q,2100.00,2195.80,2099.45,2190.25,2190.25,2081.45,7738,135639,293319383.00,
500125,E.I.D.PAR   ,A ,Q,229.95,229.95,226.25,226.80,226.55,229.95,753,9725,2209493.00,
500126,MERCK LTD   ,B ,Q,2442.65,2520.00,2442.65,2459.45,2460.00,2450.30,483,3728,9247095.00,
500128,ELEC.CASTING,B ,Q,24.65,24.90,24.45,24.60,24.60,24.75,120,26645,655964.00,
500132,EMPEE SUGARS,XT,Q,1.50,1.50,1.43,1.50,1.50,1.50,8,7197,10747.00,
500133,ESAB INDIA  ,B ,Q,655.00,675.00,655.00,664.00,671.00,641.70,28,361,239700.00,
500135,ESSEL PROP  ,B ,Q,257.00,259.40,249.50,250.00,250.00,259.05,154,10550,2653144.00,
500136,ESTER INDUS.,B ,Q,56.30,56.60,56.00,56.35,56.35,55.60,58,5308,298735.00,
500139,FEDDERELEC  ,B ,Q,56.65,57.10,55.70,55.80,56.90,56.45,58,5215,293121.00,
500141,FERRO ALLOYS,X ,Q,6.28,6.69,6.11,6.50,6.59,6.18,250,110894,712767.00,
500144,FINOL. CABLE,A ,Q,669.75,684.85,660.10,672.25,675.15,675.25,149,1754,1175469.00,
500147,CMI FPE     ,X ,Q,840.00,840.00,800.00,825.55,828.00,836.70,10,600,483575.00,
500148,UFLEX LTD   ,A ,Q,297.45,309.75,292.25,304.35,304.35,296.50,511,17989,5448557.00,
500150,FOSECO INDIA,B ,Q,1442.00,1442.00,1416.00,1420.00,1420.00,1430.00,11,80,114215.00,
500151,GOLDEN TOB  ,T ,Q,50.00,50.00,46.55,49.80,49.80,49.00,10,1966,96054.00,
500153,GANESH BENZO,X ,Q,85.25,86.75,84.00,84.40,84.40,85.90,407,46327,3932606.00,
